file,line,item
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,666,"- [~] E42 `BLOCKED-EXTERNAL`: **KARAR (2026-08-14, Orhan):** HalDeFiyat'a AYRI GA4 property açılacak; yönetim ekosistem-sosyal-medya hub'ından (veri ayrı, yönetim merkezi — ""ayrı""dan kasıt property/veri ayrımıdır, ayrı yönetim paneli değildir). Property hub'dan açılınca measurement ID `site_settings` analytics ayarına yazılır — frontend GA4 kablosu hazır, kod değişikliği gerekmez. Reauth sonrası `analytics.edit` scope'u property'yi API'den açmaya da yeter. Dönüşümde birinci taraf veri esas: `docs/codex-briefs/donusum-deger-kayip-olcumu.md`."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,688,"- [~] S3 **Nar sezon açılışı analizi.** YAZILDI + YAYIN ZAMANLANDI (2026-08-19): rapor id 25, slug `nar-fiyatlari-2026-sezon-acilisi-analizi`, kalite 82/100 (içerik 90). 1.536 kayıt/15 hal verisiyle: canlı sezon tablosu (60–425 TL makası), 12 aylık medyan seyri (depo narı 178,58 zirvesi → erkenci 141,59), sanayi-sofralık ayrımı, eylül göstergeleri. YoY bilinçli olarak eğilim diliyle verildi (yıllık kıyas veri engeli). **Yayın: 20 Ağu 08:00 TR** (hf_scheduled_publishes + */10 cron, IndexNow otomatik). Yayın sonrası canlı kontrol edilince [X] yapılır."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,689,"- [~] S4 **Turşuluk sezonu rehberi.** YAZILDI + YAYIN ZAMANLANDI (2026-08-19): rapor id 26, slug `tursuluk-sezonu-2026-tursu-sepeti-hal-fiyatlari`, kalite 90/100 (içerik 100, SEO 100). 10 ürünlük turşu sepeti tablosu (her satır ürün sayfasına iç link — indexli salatalik-tursuluk + domates-yesil-tursu dahil), kayıtlardan alım takvimi (kornişon ağustosta 8→46-48 TL deseni; yeşil domates ekim-kasım 6-7 TL dibi), örnek sepet maliyeti (≈289 TL), ince-taban dürüstlük notu (kornişon/yeşil domates tek hal). **Yayın: 21 Ağu 08:00 TR** (nar 20'sinde, turşuluk 21'inde — günde bir makale). Yayın sonrası canlı kontrolle [X]. Not: S3 nar taslağı da aynı kalite düzeltmeleriyle 82→90'a çıkarıldı."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,691,"- [~] S14 **Sezon rehberleri ailesi (/rehber) + ana sayfa bölümü.** (Orhan talebi 2026-08-19 akşam: ""turşuluk rehberini ana sayfaya koyalım; konserve/reçel rehberleri de ekleyelim; geçmiş-şimdi grafikleriyle en uygun zamanı bulalım."") YAPILDI (commit 24a0b044 + ince-taban fix): `/rehber` indeksi + 3 rehber (`tursu`, `salca-konserve`, `recel`) — her sepet ürünü için son 12 ayın hal medyanı CSS bar grafiği, kayıttan ""en düşük ay"" (≥3 hal tabanlı aylardan seçilir) ve bugünkü fiyatın dibe oranından uygun/orta/pahalı rozeti. Ana sayfa (desktop+mobil) SeasonGuides bölümü, sitemap weekly/0.8, turşuluk analizi (id 26) rehbere link'li. Yeni rehber = `frontend/src/lib/rehber.ts` config kaydı. GÜNCELLEME (aynı akşam, Orhan görsel bug bildirimi + çift-yıl talebi): (1) bar yüzde-yüksekliği auto-flex'te çöküyordu → piksel yükseklik (b395578d); (2) grafik ÇİFT SERİYE çevrildi — geçen yıl açık ton + bu yıl koyu ton, Oca–Ara takvim hizalı, 730d aylık veri; (3) rozet/en-uygun-dönem SON 12 AYIN ≥3 hallik dibinden hesaplanır (24 aylık nominal dip enflasyonla her ayı 'pahalı' gösteriyordu). Ardından (Orhan geri bildirimleri): yıllar ayrık renge çevrildi (2025 nötr gri, 2026 marka yeşili; en düşük kayıt halkalı, güncel ay sütunu zeminli, 4 öğeli lejant) ve başlığa CANLI VERİ puls rozeti + FreshnessBadge (son veri tarihi, overview.lastSourceDate) eklendi. Playwright ekran görüntüsüyle canlı doğrulandı. AÇIK: yayınlar canlıya düşünce (20-21 Ağu) rehber+piyasa+analiz URL'lerine toplu IndexNow; rehber sayfalarının GSC etkisi S11'de ölçülür."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,698,"- [ ] S6 **deploy.sh admin-build OOM koruması.** Turbopack admin build'i (2,2 GB) 7,9 GB RAM kutuda iki kez OOM'landı (ikincisinde pm2 daemon dahil düştü, ~30 sn 502). Yapısal öneri: admin build adımına `NODE_OPTIONS=--max-old-space-size` sınırı VEYA build sırasında 1 frontend worker'ı geçici durdurup sonra geri açma. Kural şimdiden geçerli: admin build'i art arda tekrar DENEME; admin'de değişiklik yoksa düşen admin adımı zararsız. **GÜNCELLEME 2026-08-31 — ölçüldü, maliyeti belli:** 19–30 Ağustos'ta 463 adet 5xx'in **456'sı dört dağıtım gününde** oluştu (19 Ağu 237, 24 Ağu 103, 30 Ağu 106, 27 Ağu 10), **kalan sekiz günde toplam 7**. 30 Ağustos'taki 19 ardışık fotoğraf batch dağıtımı tek başına 106 5xx + 810 vazgeçilen istek (499) üretti — dönemin 499 zirvesi. Yani altyapı stabil, kesintinin tamamı prosedürden geliyor. **Ek madde A3.3 (kod değil, prosedür):** ardışık içerik dağıtımları tek commit + tek dağıtımda toplanır; 30 Ağustos'taki 19 ayrı dağıtım tek seferde yapılabilirdi. **Ek madde A3.4:** `deploy.sh` sonunda dağıtım penceresindeki 5xx sayısını logdan sayıp çıktıya yaz — regresyon sessiz kalmasın. Kabul: sonraki 3 dağıtım gününde toplam 5xx < 20 (bugünkü dağıtım günü ortalaması 114)."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,699,"- [ ] S7 **Kayseri ETL kaynağı.** AngularJS sayfa, AJAX endpoint reverse-engineering gerekli (browser Network sekmesi ile). 1.177 gösterimlik ""kayseri hal fiyatları"" sorgu ailesi veri beklediği için içerik tarafı da bu kaynağa bağlı."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,704,- [ ] S9 Eklenti kataloğundan sıradaki gelir pilotu seçimi (ör. WhatsApp 1:1 fiyat hattı). Katalog: `haldefiyat-eklenti-katalogu.pdf`. Seçim yapılınca ilgili faz maddesi açılır.
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,705,- [ ] S10 S1 medya kiti hazır olunca fiyatlama + ilk temas listesi (Atakan ağı) — F10.5 kapısının insan tarafı.
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,712,"- [ ] S13 **Kasım başı:** AI crawler kanalı tut/kıs kararı — llms.txt/AI görünürlüğü ölçülebilir trafik veya gelir getirmediyse export dışı JSON uçları da AI botlarına kapatılır (bugünkü durum: ~8,7K istek/ay, gelir 0, maliyet ihmal edilebilir)."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,727,"- [~] S20 **P2 — Şehir–ürün kesişim sayfalarını çoğalt.** GSC örüntüsü net: ""malatya hal komisyoncuları"" %47,83 CTR (poz 1,0), ""polatlı soğan fiyatları"" %27,12; genel ""limon fiyatları"" %1,64. `/piyasa/[slug]` şablonu (S2) bu iş için zaten kurulu — config'e kayıt eklemek yeterli. — **ERTELENDI 2026-08-31 — veri desteklemiyor.** Adana limon en buyuk boslukmus gibi gorunuyordu (~2.600 gosterim, %0,25-0,42 CTR) ama Adana/Mersin IP-blokta: 30 gunde SIFIR Adana limon kaydi var → verisiz bolge sayfasi ince icerik olurdu. Ikinci limon bolge sayfasi ayrica S18'de yeni duzeltilen kannibalizasyonu artirirdi. Olculen diger 'firsat' sorgulari (kayseri hal 1.098/%0,73, ankara hal 1.072/%1,87) yeni sayfa degil MEVCUT hal sayfalari; baslik/aciklamalari Bursa (%6,33) ile birebir ayni kalipta ve pozisyonlar yakin → fark SERP rekabetinden. **Dogru sira:** S18 koprusunu olc (4 hafta), sonra modeli cogaltmaya karar ver."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,731,"- [ ] S25 **P1 — İlk dış reklamvereni kazan (Orhan + Atakan, kod işi değil).** 12 günde 35.447 banner gösterimi, 36 tıklama (%0,10 CTR), **0 TL gelir, 0 dış ücretli reklamveren**. 14 slotun 7'si boş; dolu 7'sinin hepsi kendi markamız (VistaSeeds ×4) veya Hostinger affiliate ×3. `hf_ad_self_service_requests`, `hf_ad_waitlist`, `hf_ad_payments` tabloları **tamamen boş**. Malzeme 19 Ağustos'tan beri hazır (`reports/haldefiyat-medya-kiti-2026-08.pdf` + canlı indirme + /reklam-ver canlı rakam şeridi) ama gönderilmedi. Eksik olan tek şey temas. Teklifte öne çıkarılacak pozisyonlar: `analiz_sidebar` %0,61 · `prices_top` %0,58 · `home_mid` %0,32 — **uyarı:** üçü de 1.000 gösterimin altında, ""erken dönem göstergesi"" olarak sunulmalı, garanti olarak değil. Kabul kriteri: `hf_ad_payments`'ta en az 1 `paid`/`partial` kayıt. (S10'un devamı.)"
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,734,"- [~] S28 **P2 — Sunucu yanıt süresi (TTFB).** Alan verisinde (CrUX p75) kalan **tek zayıf metrik**: TTFB 1.288 ms `AVERAGE`, FCP 2.276 ms `AVERAGE`; LCP/INP/CLS üçü de `FAST`. Laboratuvarda mobil 91, masaüstü 100, TBT 0 ms — yani istemci tarafı çözülmüş, gecikme sunucuda. **Sıra önemli:** önce S17 (prefetch) yapılsın; günde 39,6 bin isteğin kalkması TTFB'yi kendiliğinden düşürebilir, sonra yeniden ölç. Hâlâ `AVERAGE` ise en çok istenen yolların (`/`, `/fiyatlar`, `/urun/[slug]`) sunucu tarafı önbelleklemesi + render-blocking kaynaklar (~730 ms). Kabul: TTFB p75 < 800 ms → genel CrUX `FAST`. **Tuzak:** alan verisi 28 günlük kayan pencere, etki 3–4 hafta gecikmeli görünür. — **BASELINE OLCULDU 2026-08-31.** Lab TTFB **120 ms** (cok iyi), mobil performans 91 (3 kosunun 2'si; dusuk kosular build yuku sirasinda alinmis, yuk oturunca 91'e dondu — regresyon YOK). Alan verisi (CrUX) hala TTFB 1.288 ms AVERAGE ama **28 gunluk kayan pencere** oldugu icin S17'nin etkisi henuz yansimadi. **Yeniden olcum: Eylul sonu.** Acik kalem: render-blocking kaynaklar (~730 ms)."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,735,"- [ ] S24 **Takvimli — Kasım başı (S13 girdisi):** AI tarama sıçraması KALICI OLMADI. Eşleştirilmiş pencerede 2.373 → 485 (−%80), aynı anda Googlebot 3.143 → 5.519 (+%76). Dönem toplamı 3.570 hit (~298/gün, ~9K/ay), ölçülebilir gelir 0. 30 Ağu denetiminde GEO (üretken arama) skoru **46/100**, geleneksel SEO 90,7. Kasım kararı bu veriyle alınacak."
HALDEFIYAT-KAPSAMLI-UYGULAMA-CHECKLISTI.md,740,"- [~] S29 Market verisi ve K4 aynı gün/birim/eşleme güvenliği, API günlük fiyat düzeltmesi, plan takvimi ve ölçüm revizyonu."
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,128,"- [~] **A1.1** *(YERI DEGISTI → proxy.ts; sayfa kodu olu, kaldirildi)* `frontend/src/app/[locale]/(public)/urun/[slug]/page.tsx` — `notFound()`"
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,137,"- [ ] **A1.4** *(TEK KALAN — admin oturumu gerektiriyor, asagiya bak)* `/analiz/elma-fiyat-analizi-mayis-2026` (219 istek) için `hf_redirects`'e"
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,253,- [ ] **A3.2** Alternatif/tamamlayıcı: build sırasında 1 frontend cluster worker'ını geçici
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,294,- [ ] **A4.1** *(INSAN — fiyatlandirma karari)* Medya kitindeki boş fiyat alanlarını doldur (Orhan/Atakan kararı).
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,295,- [ ] **A4.2** *(INSAN — Atakan agi)* İlk temas listesi çıkar (Atakan'ın 250+ kişilik sektör ağından 20 hedef).
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,296,- [ ] **A4.3** *(INSAN — dis temas otonomi disi)* Medya kitini gönder — ilk tur.
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,329,- [ ] **A5.1** 21 yayınlanmış raporun `meta_title`/`meta_description` alanlarını doldur.
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,332,"- [ ] **A5.2** Aynısını yeni dikeyler için: `/borsa`, `/et-fiyatlari`, `/canli-hayvan-fiyatlari`"
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,334,- [ ] **A5.3** Haftalık otomatik rapor üreticisine `meta_title` üretimi ekle
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,336,- [ ] **A5.4** **Ayrı bulgu:** 31 Ağustos haftalık raporu (`agustos-5-hafta`) üretilmemiş;
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,420,- [~] **A7.1** *(ERTELENDI — veri gerekcesi yukarida)* Aday listesi çıkar: GSC'de **pozisyon ≤ 10 + gösterim ≥ 100 + CTR < %3** olan
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,422,"- [~] **A7.2** *(ERTELENDI — veri gerekcesi yukarida)* İlk parti (öneri, mevsim penceresine göre): mersin/erdemli limon (var),"
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,424,- [~] **A7.3** *(ERTELENDI — veri gerekcesi yukarida)* Her sayfa için sitemap + IndexNow bildirimi (mevcut akış).
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,425,- [~] **A7.4** *(ERTELENDI — veri gerekcesi yukarida)* `/urun/[slug]` sayfalarından ilgili piyasa sayfasına iç link kartı.
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,486,- [~] **A9.2** *(Orhan karari bekliyor — modul yasayacaksa)* Yaşayacaksa: mevcut 5 ilanın `valid_until` süresini uzat veya yeni ilan gir;
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,521,"- [ ] **A10.2** *(partial %11→%24 sicramasi henuz incelenmedi)* `partial` oranı sıçramasını incele (%11 → %24). Hangi kaynaklar kısmi dönüyor,"
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,586,"- [~] **A12.2** *(alan verisi 28 gun gecikmeli — Eylul sonunda tekrar olc)* Ölçüm hâlâ `AVERAGE` ise: en çok istenen yolların (`/`, `/fiyatlar`,"
HALDEFIYAT-AKSIYON-CHECKLISTI-2026-08-31.md,588,- [ ] **A12.3** *(render-blocking ~730 ms — acik)* Render-blocking kaynakları (~730 ms) — kritik CSS/JS ayrımı.
